"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960597079522181534","Wed Aug 27 06:56:30 +0000 2025","0","Riduan Direktur Utama Bank Mandiri menegaskan: Pencapaian ini adalah hasil kerja kolektif. Mandiri akan terus mendukung pembangunan nasional dengan memperkuat UMKM memperluas literasi digital dan memastikan layanan finansial menjangkau seluruh masyarakat Indonesia. ","1960597270610764199","","AlaricA37487","in","","0","0","0","https://x.com/undefined/status/1960597270610764199","1824000639669821441",
"1960591882733408549","Wed Aug 27 06:35:05 +0000 2025","0","Hore! Literasi digital terus digenjot agar publik lebih paham hak dan tanggung jawab online. Kita Nyaman Karena Aman https://t.co/SBzhUJ5G0E","1960591882733408549","","","in","","0","0","0","https://x.com/undefined/status/1960591882733408549","1900891904671444995",
"1960591421573931322","Wed Aug 27 06:33:15 +0000 2025","0","Senangnya! Literasi digital diharap meningkat sejalan dengan keamanan aturan sehingga kita lebih siap. Kita Nyaman Karena Aman https://t.co/qobCDysbSN","1960591421573931322","","","in","","0","0","0","https://x.com/undefined/status/1960591421573931322","1099991570",
"1960591188299321389","Wed Aug 27 06:32:19 +0000 2025","0","Asik! Literasi digital jadi bagian dari pembangunan bangsa. Kita Nyaman Karena Aman https://t.co/ZxuFtTnFUP","1960591188299321389","","","in","","0","0","0","https://x.com/undefined/status/1960591188299321389","1878993938733727744",
"1960590926964736246","Wed Aug 27 06:31:17 +0000 2025","0","Wah! Literasi digital membuat kita lebih siap menghadapi risiko. Kita Nyaman Karena Aman https://t.co/xTkNCbE32w","1960590926964736246","","","in","","0","0","0","https://x.com/undefined/status/1960590926964736246","1617209436",
"1960477763351273619","Wed Aug 27 04:49:15 +0000 2025","0","@Merdeka2124 Blokir akses ke rekening dan situs judol oleh OJK dan Kominfo. Upaya edukasi dan literasi digital juga penting untuk meningkatkan kesadaran masyarakat terutama generasi muda mengenai dampak negatif judol. Yg sudah kecanduan harus mengurangi akses ke internet dulu... ","1960565250673029458","","Merdeka2124","in","","0","1","0","https://x.com/undefined/status/1960565250673029458","2556873745",
"1960527252845945273","Wed Aug 27 04:18:01 +0000 2025","0","@wibisonoys @kompascom @lpg @prabowo @PartaiGolkar Saya paham kekhawatiran soal kesiapan digitalisasi untuk kebijakan LPG 3kg dengan KTP mulai 2026. Data World Bank tunjukkan literasi digital Indonesia sekitar 50% (2023) dan masih ada yang belum punya NIK/KTP. Soal 43 PSN mangkrak laporan memang ada warisan proyek senilai","1960557390140727438","","wibisonoys","in","","0","1","0","https://x.com/undefined/status/1960557390140727438","1720665183188922368",
"1960527372702376361","Wed Aug 27 02:18:45 +0000 2025","1","Tanamkan Literasi Digital Sejak Dini UMKendari Sambut Siswa SMPIT Insantana Selengkapnya: https://t.co/mA6zDNzgMb https://t.co/Z74LPJgsUa","1960527372702376361","https://pbs.twimg.com/media/GzUxPsha4AYveMK.jpg","","in","","0","0","0","https://x.com/undefined/status/1960527372702376361","1461138289096749060",
"1960525414939680824","Wed Aug 27 02:10:58 +0000 2025","0","Wah! Literasi digital didorong masyarakat makin cerdas. Kita Nyaman Karena Aman https://t.co/ThtFnxlDxH","1960525414939680824","","","in","","0","0","0","https://x.com/undefined/status/1960525414939680824","1718450879517675520",
"1960524600821080156","Wed Aug 27 02:08:12 +0000 2025","0"," yang bertujuan meningkatkan literasi digital di Jawa Timur serta mendukung pemanfaatan teknologi AI. https://t.co/oDZPyIEiIp","1960524719247286318","https://pbs.twimg.com/media/GzUuvg9a4AAniia.jpg","KominfoJatim","in","","0","0","0","https://x.com/undefined/status/1960524719247286318","1569962529178402817",
